Case_Number,Date_Filed,Offense_Date,Violation_List_Dispositions,Bindover Description,Bindover Date
23M03257,5/28/23,5/28/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 09/15/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 09/15/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 09/15/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 09/15/2023",,
23M03259,5/28/23,5/28/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 06/14/2024
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 06/14/2024
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 06/14/2024",,
23M03275,5/29/23,5/29/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/26/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 01/26/2024
42-4-204 HEADLAMPS-FAILURE TO DISPLAY - CLASS A TRAFFIC INFRACTION - DISMISSED 01/26/2024",,
23M03277,5/29/23,5/29/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 02/26/2024
42-3-114 EXPIRED LIC PLATES 60 + DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 02/26/2024
42-4-1301(1)(a);42-4-1307(3)(b) DRIVING UNDER THE INFLUENCE - .20 OR OVER - UNCLASSIFIED MISDEMEANOR - GUILTY 02/26/2024
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 02/26/2024",,
23M03279,5/29/23,5/16/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 04/12/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 04/12/2024",,
23M03298,5/29/23,5/29/23,"18-13-122(3)(a);4(a) ALCOHOL-UNDER21- POSSESS/CONSUMP - UNCLASSIFIED PETTY OFFENSE - DISMISSED 07/09/2024
42-2-106 DRIVER'S LICENSE-INSTRUCTION PERMIT VIOL - CLASS A TRAFFIC INFRACTION - DISMISSED 07/09/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 07/09/2024
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION - DISMISSED 07/09/2024
42-4-1401 RECKLESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 07/09/2024
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 07/09/2024
42-4-1602 LEAVING SCENE/ACCIDENT-DAMAGE ONLY - CLASS 2 TRAFFIC OFFENSE - DISMISSED 07/09/2024
42-4-1606(1) FAILING TO REPORT ACCIDENT-CALL POLICE        - CLASS 2 TRAFFIC OFFENSE - DISMISSED 07/09/2024",,
23CR02998,5/30/23,5/26/23,"18-4-409(2),(3)(a) MOTOR VEHICLE THEFT/AGG 1-LESS $20K - CLASS 5 FELONY -
18-4-501(1),(4)(e) CRIMINAL MISCHIEF-$5000-$20,000 - CLASS 5 FELONY -
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR -",BND OVER DC NO PH ENTITLEMENT,5/31/23
23M03299,5/30/23,5/30/23,"42-4-1006(1) WRONG WAY ON 1-WAY STREET                     - CLASS A TRAFFIC INFRACTION - DISMISSED 06/30/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 06/30/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 06/30/2023",,
23M03302,5/30/23,5/30/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/08/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - GUILTY 03/08/2024",,
23M03311,5/30/23,5/30/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 09/25/2023
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 09/25/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 09/25/2023
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION - DISMISSED 09/25/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 09/25/2023",,
23CR02923,5/31/23,4/2/23,"42-2-101(3) DRIVER'S LICENSE-NOT ON PERSON - CLASS B TRAFFIC INFRACTION -
42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DUI-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -",BOUND OVER TO DISTRICT COURT,6/2/23
23M03326,5/31/23,5/31/23,"42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/05/2024
42-4-1301(1)(a), 42-4-1307(5) DWAI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 03/05/2024",,
23M03327,5/31/23,5/31/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/06/2023
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/06/2023
42-4-1409(1) NO INSURANCE - OWNER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 10/06/2023",,
23M03331,5/31/23,5/31/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 01/23/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 01/23/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/23/2024",,
23CR02980,6/1/23,5/25/23,"18-12-106(1)(d) POSSESS GUN - UNDER INFLUENCE - CLASS 1 MISDEMEANOR -
18-3-206(1)(a) FELONY MENACING-REAL/SIMULATED WEAPON - CLASS 5 FELONY -
18-8-306 PUBLIC SERVANT-ATTEMPT TO INFLUENCE           - CLASS 4 FELONY -
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -",BOUND OVER TO DISTRICT COURT,6/12/23
23M03360,6/1/23,6/1/23,"42-4-1301(1)(a) DUI-DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 02/13/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - GUILTY 02/13/2024",,
23M03362,6/2/23,6/1/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/24/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/24/2023
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION - DISMISSED 10/24/2023
42-4-604(1)(c)(I) RED LIGHT-FAIL TO STOP                        - CLASS A TRAFFIC INFRACTION - DISMISSED 10/24/2023",,
23M03366,6/2/23,6/2/23,"42-4-1103(1) DRIVING TOO SLOWLY - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-1305 ALCOHOL-OPEN CONTAINER/DRINK IN VEHICLE - CLASS A TRAFFIC INFRACTION -",,
23M03389,6/3/23,6/2/23,"42-3-114 EXPIRED LIC PLATES 1-29 DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 11/07/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/07/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/07/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/07/2023
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 11/07/2023
42-4-604(1)(c)(I) RED LIGHT-FAIL TO STOP                        - CLASS A TRAFFIC INFRACTION - DISMISSED 11/07/2023",,
23M03390,6/3/23,6/3/23,"42-3-114 EXPIRED LIC PLATES 60 + DAYS - CLASS B TRAFFIC INFRACTION -
42-3-121(1)(c) REGISTRATION-MISUSE OF PLATES - CLASS B TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE -",,
23M03406,6/3/23,6/3/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 01/19/2024
42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION - DISMISSED 01/19/2024
42-4-1202 PARKING ON ROADWAY                            - CLASS B TRAFFIC INFRACTION - DISMISSED 01/19/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/19/2024
42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 01/19/2024",,
23M03411,6/4/23,6/4/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - DISMISSED 11/06/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/06/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/06/2023",,
23M03412,6/4/23,6/4/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 11/03/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/03/2023",,
23M03413,6/4/23,6/4/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/09/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 01/09/2024
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/09/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/09/2024",,
23M03414,6/4/23,6/4/23,"18-8-111 FALSE REPORTING TO AUTHORITIES - CLASS 3 MISDEMEANOR - DISMISSED 09/18/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 09/18/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 09/18/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 09/18/2023",,
23M03419,6/4/23,6/4/23,"42-4-1301(1)(a) DUI-DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/08/2024
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/08/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/08/2024",,
23M03420,6/4/23,6/4/23,"42-3-114 EXPIRED LIC PLATES 60 + DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 03/22/2024
42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/22/2024
42-4-1301(1)(a), 42-4-1307(5) DUI DRUGS (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/22/2024
42-4-1301(1)(a), 42-4-1307(5) DWAI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/22/2024
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 03/22/2024
42-4-1301(2)(a) DUI PER SE-DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 03/22/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 03/22/2024
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 03/22/2024",,
23M03426,6/5/23,6/5/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 10/30/2023
42-3-114 EXPIRED LIC PLATES 60 + DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 10/30/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/30/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/30/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/30/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/30/2023",,
23M03428,6/5/23,6/5/23,"42-4-1301(1)(a) DUI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 08/18/2023
42-4-1401 RECKLESS DRIVING - CLASS 2 TRAFFIC OFFENSE - GUILTY/AMENDED 08/18/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 08/18/2023
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 08/18/2023",,
23CR03075,6/6/23,1/12/23,"18-3-205(1)(b) VEHICULAR ASSAULT-DUI                         - CLASS 4 FELONY -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -",BND OVER DC NO PH ENTITLEMENT,7/18/23
23CR03108,6/6/23,5/31/23,"18-3-203(1)(c) ASSAULT 2-PEACE OFFICER                       - CLASS 4 FELONY -
18-3-203(1)(f) ASSAULT 2-IN CUSTODY/PEACE OFFICER  - CLASS 4 FELONY -
18-8-103 RESISTING ARREST - CLASS 2 MISDEMEANOR -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -",FTA BOUND OVER DIST. COURT,7/11/23
23CR03115,6/7/23,5/31/23,"18-3-205(1)(b) VEHICULAR ASSAULT-DUI                         - CLASS 4 FELONY -
42-2-138(1)(a) DRIVING UNDER RESTRAINT - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-1402.5;42-4-1402 CARELESS DRIVE SBI VULNERABLE ROAD USER - CLASS 1 TRAFFIC OFFENSE -
42-4-1601(1),(2)(b) LEAVING SCENE/ACCIDENT INVOLVING SBI - CLASS 4 FELONY -",BND OVER DC NO PH ENTITLEMENT,6/26/23
23M03472,6/7/23,6/7/23,"42-3-114 EXPIRED LIC PLATES 30-59 DAYS - CLASS B TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-204 HEADLAMPS-FAILURE TO DISPLAY - CLASS A TRAFFIC INFRACTION -",,
23M03489,6/7/23,6/7/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 10/09/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/09/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/09/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/09/2023",,
23CR03191,6/8/23,4/25/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION -
42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE -
42-4-1301(1)(a) DUI-3+ PRIOR CONVICTIONS - CLASS 4 FELONY -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -
42-4-1409(2) NO INSURANCE-DRIVER - CLASS 1 TRAFFIC OFFENSE -",BOUND OVER TO DISTRICT COURT,6/13/23
23M03492,6/8/23,6/8/23,"42-4-1006(1) WRONG WAY ON 1-WAY STREET                     - CLASS A TRAFFIC INFRACTION - DISMISSED 12/01/2023
42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 12/01/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 12/01/2023
42-4-1301(1)(b) DWAI-ALCOHOL &amp; DRUGS - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 12/01/2023
42-4-231 PARKING LIGHTS ONLY HEADLAMPS REQUI - CLASS B TRAFFIC INFRACTION - DISMISSED 12/01/2023",,
23M03514,6/8/23,6/8/23,"42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR -
42-4-1402(1),(2)(b) CARELESS DRIVING RESULTING IN INJURY - CLASS 1 TRAFFIC OFFENSE -
42-4-1409(1) NO INSURANCE - OWNER - CLASS 1 TRAFFIC OFFENSE -",,
23M03517,6/8/23,6/8/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/17/2023
42-4-1301(1)(a);42-4-1307(3)(b) DRIVING UNDER THE INFLUENCE - .20 OR OVER - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/17/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/17/2023",,
23M03524,6/9/23,6/9/23,"42-3-114 EXPIRED LIC PLATES 30-59 DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 04/09/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - GUILTY 04/09/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 04/09/2024
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 04/09/2024",,
23M03526,6/9/23,6/9/23,"42-3-114 EXPIRED LIC PLATES 30-59 DAYS - CLASS B TRAFFIC INFRACTION - DISMISSED 11/07/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/07/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/07/2023
42-4-204 HEADLAMPS-FAILURE TO DISPLAY - CLASS A TRAFFIC INFRACTION - DISMISSED 11/07/2023",,
23M03527,6/9/23,6/9/23,"18-18-403.5(1),(2)(c) CONTROLLED SUB POSS ANY SCH III/IV/V - DRUGS MISDEMEANOR 1 - DISMISSED 05/10/2024
42-3-202(1)(a) LICENSE PLATES-UNLAWFUL DISPLAY               - CLASS B TRAFFIC INFRACTION - DISMISSED 05/10/2024
42-4-1301(1)(a) DUI-DRUGS - UNCLASSIFIED MISDEMEANOR - DISMISSED 05/10/2024
42-4-1401 RECKLESS DRIVING - CLASS 2 TRAFFIC OFFENSE - GUILTY/AMENDED 05/10/2024",,
23M03534,6/9/23,6/9/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 12/01/2023
42-2-138(1)(d)(I) DRIVING UNDER RESTRAINT-ALCOHOL-RELATED - CLASS 2 TRAFFIC OFFENSE - DISMISSED 12/01/2023
42-4-1301(1)(a);42-4-1307(6) DUI - 3RD OR SUBSEQUENT ALC RELATED OFFENSE - CLASS 1 MISDEMEANOR - GUILTY 12/01/2023
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 12/01/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 12/01/2023
42-4-1409(1) NO INSURANCE - OWNER - CLASS 1 TRAFFIC OFFENSE - DISMISSED 12/01/2023",,
23M03540,6/10/23,6/10/23,"42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 01/08/2024
42-4-1301(2)(a) DRIVING UNDER THE INFLUENCE PER SE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/08/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/08/2024
42-4-1602 LEAVING SCENE/ACCIDENT-DAMAGE ONLY - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/08/2024",,
23M03541,6/10/23,6/10/23,"42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY 01/22/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/22/2024",,
23M03542,6/10/23,6/10/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION - DISMISSED 01/19/2024
42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 01/19/2024
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 01/19/2024
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 01/19/2024",,
23M03555,6/11/23,6/10/23,"42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/27/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/27/2023",,
23M03557,6/11/23,6/11/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - DISMISSED 10/13/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/13/2023
42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/13/2023
42-4-202(1) UNSAFE OR DEFECTIVE VEHICLE - CLASS A TRAFFIC INFRACTION - DISMISSED 10/13/2023
42-4-225(1) MUFFLER-LOUD - CLASS B TRAFFIC INFRACTION - DISMISSED 10/13/2023
42-4-227(3)(b) WINDOWS-INSTALL EXCESSIVE TINTING - CLASS A TRAFFIC INFRACTION - DISMISSED 10/13/2023",,
23M03558,6/11/23,6/11/23,"18-12-106(1)(d) POSSESS GUN - UNDER INFLUENCE - CLASS 1 MISDEMEANOR - DISMISSED 11/06/2023
42-3-121(1)(a) REGISTRATION-UNREGISTERED VEHICLE - CLASS B TRAFFIC INFRACTION - DISMISSED 11/06/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 11/06/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 11/06/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 11/06/2023",,
23M03561,6/11/23,6/11/23,"42-2-101(1) DRIVER'S LICENSE-DRIVING W/OUT - CLASS A TRAFFIC INFRACTION -
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR -
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE -",,
23M03564,6/11/23,6/11/23,"42-4-1007(1)(a) LANE USAGE VIOLATION - CLASS A TRAFFIC INFRACTION - GUILTY/AMENDED 10/30/2023
42-4-1301(1)(a) DRIVING UNDER THE INFLUENCE - UNCLASSIFIED MISDEMEANOR - DISMISSED 10/30/2023
42-4-1301(1)(b) DRIVING WHILE ABILITY IMPARED - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 10/30/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 10/30/2023",,
23M03576,6/11/23,6/11/23,"42-4-1301(1)(a), 42-4-1307(5) DUI ALCOHOL (2ND &gt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - GUILTY/AMENDED 12/19/2023
42-4-1301(1)(a), 42-4-1307(5)(b) DUI ALCOHOL (2ND &lt; 5+ YRS) - UNCLASSIFIED MISDEMEANOR - DISMISSED 12/19/2023
42-4-1402(1),(2)(a) CARELESS DRIVING - CLASS 2 TRAFFIC OFFENSE - DISMISSED 12/19/2023
42-4-1409(3) FAILURE TO DISPLAY PROOF OF INSURANCE - CLASS 1 TRAFFIC OFFENSE - DISMISSED 12/19/2023",,
